id;Raw;significance;Computed;sentences500;chjh;jmw;mva;disagree;post_discussion;notes_discussion;final_code
91;F(1, 128) = 1.60, p = .21;nonsignificant;0.208201272; the DD condition did not, t(35) = 1.26, p = .22. The analysis also revealed a main effect of school grade, F(1, 128) = 21.84, p ≤ .001, η p2 = .15, with third-graders selecting the proportional match more frequently than first-graders (71.3% vs. 56.1% of trials). On average, both first-graders and third-graders selected the proportional match more frequently than expected by chance, t(71) = 2.81, p = .006, and t(71) = 7.49, p < .001, respectively. The main effect of sex was not significant, F(1, 128) = 1.60, p = .21, η p2 = .01, however, there was an unexpected statistically significant Sex × Continuity condition interaction, F(3, 128) = 5.11, p = .002, η p2 = .11, which was due to girls, but not boys, performing better in the CC, CD, and DC conditions than the DD condition, all ts(16) ≥ 3.22, ps ≤ .002, Sidak adjusted. Girls selected the proportional match on 75%, 72%, 71%, and 46% of trials for the CC, CD, DC, and DD conditions, respectively, and boys selected the proportio;3;3;3;0;3;;no expectation
92;F(2, 46) = 4.14, p < .05;significant;0.022218454;a Gender × Maltreatment Status interaction in victims’ judgments of anger across contexts, F(5, 49) = 3.36, p < .05. Across contexts, nonmaltreated male victims reported marginally more anger than did physically abused male victims, F(2, 25) = 3.11, p < .06 ( Ms = .13 and .03). There also was a marginally significant four-way interaction, F(2, 46) = 2.62, p < .08, which was due to a significant Gender × Maltreatment Status interaction in victims’ judgments of sadness in actual situations, F(2, 46) = 4.14, p < .05. Physically abused males reported more sadness in actual situations than did either nonmaltreated or neglected children, F(4, 24) = 4.63, p < .05 ( Ms = .47, .21, and .15, respectively), but females did not differ significantly. Furthermore, neglected males reported more sadness in actual situations than did neglected females, F(1, 17) = 5.51, p < .05 ( Ms = .43 and .15) and, more marginally, nonmaltreated females reported more sadness than did nonmaltreated males, F(1, 1;3;3;3;0;3;;no expectation
93;F(1, 100) = 3.09, p = .0821;nonsignificant;0.08183473;iable, F(1, 100) = 3.43, p = .067, such that men ( M = 15.09) tended to score higher than women ( M = 13.76) on the test. Self-Protective AttributionsThe ANOVA of subjects' estimates of the amount of time they spent practicing revealed a main effect for the certainty variable, F(1, 100) = 4.50, p = .0363, indicating that uncertain subjects ( M = 4.62) believed they practiced less than certain subjects ( M = 5.46). This main effect was qualified by a nearly reliable Sex × Certainty interaction, F(1, 100) = 3.09, p = .0821. Post hoc analysis of this result showed that the uncertain males ( M = 4.18) believed that they practiced less than their certain male counterparts ( M = 5.69), t(104) = 2.76, p < .01. Similarly, there was a trend toward uncertain males ( M = 4.18) reporting practicing less than uncertain females ( M = 5.13), t(104) = 1.70, p < .10. In an effort to examine the correspondence between subjects' actual and reported practice, scores on the number of problems solved, time ;3;3;3;0;3;;no expectation
94;F(1, 582) = 2.91, p =.09;nonsignificant;0.088565404;d self-perception were first included as independent variables in the linear model: They all had a significant multivariate effect on goals: for gender, F(2, 581) = 38.06, p =.000, η 2 = 12, for peer perception, F(2, 581) = 43.75, p =.000, η 2 =.13, for self-perception, F(2, 581) = 8.78, p =.000, η 2 =.03. According to univariate tests, gender had a significant effect on communal goals, F(1, 582) = 73.62, p =.000, η 2 = 11 (girls scoring higher), but only a marginal effect on agentic goals, F(1, 582) = 2.91, p =.09, η 2 =.01 (boys scoring higher). Self-perception had a univariate effect on agentic goals, F(1, 582) = 15.03, p =.000, η 2 =.03, whereas peer perception had an effect on communal goals, F(1, 582) = 84.50, p =.000, η 2 =.13. Two-way Gender × Self-Perception and Gender × Peer Perception interactions were added into the model: They were nonsignificant and were thus omitted. Next, a Self-Perception × Peer Perception interaction term was added into the model. The indepen;3;3;3;0;3;;no expectation
95; 2(1) = 9.2, p < .01;significant;0.002420151;ationThe bottom section of Table 4 displays the coefficients predicting advances in steps toward separation. Relationship satisfaction was the only significant predictor for husbands, suggesting that when husbands were less satisfied, relative to their average satisfaction, they took more steps toward separation. For women, however, higher relationship satisfaction at a particular point in time did not go along with a progression toward dissolution, and this gender difference was significant, χ 2(1) = 9.2, p < .01. Only fluctuations in women's IM component were significantly associated with steps toward separation, suggesting that at times when they reported higher IM than on average, they were less likely to take steps toward separation, gender difference significant: χ 2(1) = 4.3, p < .05. Overall, the results provide support for Hypothesis 3a and partial support for Hypothesis 3b. Long-term prediction of separation and divorceTo examine long-term associations between commitment sco;3;2;3;1;2;;effect expected
96;F(1, 21) = 0.75, ns;nonsignificant;0.396263008;egrative in nature. That is, the two parties had opposingpriorities on these issues. Because our model of stereotype activation concerns the claimingof distributive issues, we exclude these issues from our analysis. 4 In a pilot study using thissame negotiation exercise between male and female negotiators, we counterbalanced roleassignments across gender. We observed no main effect for role, F(1, 22) =1.77, ns, similarly, the interaction between role and gender was notstatistically significant, F(1, 21) = 0.75, ns. References Arkin, R. M., Oleson, K. C., Shaver, K. G., &amp, Schneider, D. J. ( 1998). Self-handicapping. In J. M.Darley &amp, J.Cooper ( Eds.), Attribution and social interaction: The legacy of Edward E. Jones (pp. 313– 371). Washington, DC: American Psychological Association. Ayres, I., &amp, Siegelman, P. ( 1995). Race and gender discrimination in bargaining for a new car. The American Economic Review, 85, 304– 321. Bargh, J. A. ( 1997). The automaticity of everyday li;3;3;3;0;3;;no expectation
97;F(3, 1160) = 17.30, p < .001;significant;5.41E+03;al respondents. Frequencies of Nonsuicidal Self-Injury Among Female and Male Participants in the West Coast and East Coast SamplesThe means and standard deviations for perceived parental criticism, parental alienation, and delinquent behavior are presented separately by gender and sample in Table 2. A two-way multivariate analysis of variance (ANOVA, Sample × Gender) revealed significant main effects for sample source, Wilks's λ = 0.96, F(3, 1160) = 17.85, p < .001, gender, Wilks's λ = 0.96, F(3, 1160) = 17.30, p < .001, and their interaction, Wilks's λ = 0.96, F(3, 1160) = 16.36, p < .001. Follow-up univariate ANOVAs revealed that participants in the West Coast sample reported higher levels of parental criticism, F(1, 1166) = 6.71, p < .01, and of alienation, F(1, 1166) = 17.63, p < .001, than did participants in the East Coast sample. Girls endorsed higher levels of parental criticism, F(1, 1166) = 4.63, p < .05, and of alienation, F(1, 1166) = 38.41, p < .001, than did boys. One ;3;3;3;0;3;;no expectation
98;F(1, 380) = 80.7, p< .001;significant;1.24E-03;alyses, gender served as the independent variable and children's relational and overt victimization scores served as the dependent variables. Because the two forms of victimization were moderately correlated, relational victimization served as the covariate for assessment of gender differences in overt victimization and vice versa. Results showed that, after controlling for relational victimization, boys ( M= 1.2) were significantly more overtly victimized by peers than were girls ( M= −1.4), F(1, 380) = 80.7, p< .001. Similarly, girls ( M= 0.9) were significantly more relationally victimized than boys ( M= −0.8), F(1, 380) = 32.7, p< .001, after controlling for overt victimization. Victimization, Aggression, and Rejected Peer StatusCorrelations between each form of aggression and the corresponding form of victimization indicated that relational aggression and relational victimization were moderately to highly correlated ( r= .57, p< .001, for girls, and r= .62, p< .001, for boys). ;3;3;3;0;3;;no expectation
99;F(5, 1896) = 0.29, p = .92;nonsignificant;0.918700078;ion of use at each month for both men and women. Figure 1. Proportion of use across months of active phase illustrated for men and women.As illustrated in Figure 1, it appears that nearly the same percentage of men and women used cocaine through the treatment phase. Mirroring the analysis of Mulvaney et al. (1999), a gender by time interaction was included in the model. This interaction tested whether the proportion of men and women users differed over time. The interaction was not significant, F(5, 1896) = 0.29, p = .92, confirming the apparent similarity in the proportion of users during a given month for men and women illustrated in Figure 1. Do Transition Rates Differ Across Gender?: MMM Analyses Focusing on Differences in Oscillations Between Men and Women During the 6 Months of Active TreatmentThe above analysis indicates that the same percentage of men and women are using cocaine, but it does not indicate whether the same men and same women are consistently using or consistently ;3;1;3;1;3;;no expectation
100;F(3,82) = 0.40, p = 0.76;nonsignificant;0.753358623;le subjects compared to males (t(88) = 3.18, p = 0.002) and in val homozygotes compared to met allele carriers (t(88) = 2.95, p = 0.004).Neither main nor interactive effects of COMT Val158Met genotype, sex and CTQ were observed on startle magnitude differences after neutral IAPS picture presentation compared to pleasant pictures (Diff) (data not shown). Accordingly, neither the GxE interaction term in step 2 (R2 = 0.000, F(1,85) = 0.03, p = 0.87) nor interactions with sex in step 3 (R2 = 0.014, F(3,82) = 0.40, p = 0.76) significantly increased the explained variance.DiscussionIn the present study, we observed a significant influence of COMT Val158Met genotype as well as an interactive effect of COMT Val158Met genotype and childhood maltreatment (CTQ) on the affect-modulated startle response: 1) Subjects homozygous for the more active val allele showed significant startle potentiation in response to unpleasant pictures, while met allele homozygotes displayed a blunted startle response to;3;3;3;0;3;;no expectation
101;F(1, 271) = 18.12, p < .001;significant;2.86E+09;ety, threat, and sex were not significant. To investigate the potentially confounding effects of math ability, we analyzed CV-K scores in separate 3 × 2 × 2 (Test Anxiety × Threat × Sex) analyses of covariance (ANCOVAs), with math ability as a covariate. A significant effect of math ability on positive self-evaluations was found, F(1, 271) = 14.27, p < .001. Similar to the analysis without math ability as a covariate, a significant main effect of sex was found for positive self-evaluations, F(1, 271) = 18.12, p < .001. Girls reported less positive self-evaluations. For negative self-evaluations, math ability had a significant effect, F(1, 272) = 66.10, p < .001. The effect of test anxiety was still significant, F(2, 272) = 3.54, p = .03. For coping thoughts, math ability had a significant effect, F(1, 272) = 17.85, p < .001. The effect of test anxiety was still significant, F(2, 272) = 5.50, p = .005. Math ability as a covariate had no significant effect on on-task and off-task thou;3;3;3;0;3;;no expectation
102;t(17) = 0.48, p > .63;nonsignificant;0.637345227;graduate participants was shown 10 photographs of males and females, including photographs of the male and female experimenters who assisted in our experiments. Participants were asked to rate the attractiveness of the subject in each photograph relative to other people of the same gender, on a scale from 1 (not at all attractive) to 7 (extremely attractive). The mean attractiveness of our experimenters was 4.60 for the female and 4.42 for the male, and these means did not differ significantly, t(17) = 0.48, p > .63. ↵2. Participant’s gender did not have an interactive effect in any of the experiments and is not discussed further. ↵3. Note that the negative-mood index does not include the security-related items in the PANAS scale. ↵4. At the end of the experimental task, we included two items to test whether participants had perceived the experimenter to be supportive and sympathetic (both items were rated on 7-point scales). There were no differences between conditions on these;3;3;3;0;3;;no expectation
103;F(1, 146) = 15.15, p < .001;significant;0.000150531;cipants reported being more privileged ( M = 3.72, SD = 1.51) than disadvantaged ( M = 2.78, SD = 1.82). All other effects were not significant (all Fs < 1). Figure 3. Personal, individual, and group ratings of disadvantage or privilege as a function of thought condition (disadvantage vs. privilege), group status (male–high vs. female–low), and degree of group identification (low vs. high), Study 3Group ratingsThe main effects for all the factors were reliable for the group ratings: gender, F(1, 146) = 15.15, p < .001, thought condition, F(1, 146) = 6.79, p < .01, identification, F(1, 146) = 13.67, p < .001. Also reliable was the two-way interaction between thought condition and gender, F(1, 146) = 63.89, p < .001, replicating the pattern observed in Studies 1 and 2. As predicted, the three-way interaction was also significant, F(1, 146) = 7.25, p < .01. To gain insight into the source of this interaction, two separate two-way interactions involving low and high identifiers were exa;3;3;3;0;3;;no expectation
104;F(1, 203) = 8.90, p <.01;significant;0.003201236; questionnaire, they were debriefed, provided their credit, and dismissed. ResultsTo assess the possibility that observers might exhibit enhanced (or attenuated) recognition memory for attractive faces, we focused first on participants' recognition ratings for faces that they had seen previously (averaged within each target category). An omnibus mixed design ANOVA revealed a main effect of target sex, F(1, 203) = 17.39, p <.001, and a significant Target Sex × Target Attractiveness interaction, F(1, 203) = 8.90, p <.01 (see Figure 5). Simple effects tests showed that attractive men were substantially less memorable than attractive women, F(1, 204) = 25.43, p <.001 ( R2 =.11, a very large effect). Indeed, whereas attractive women were recognized better than average-looking women, F(1, 204) = 7.57, p <.01, attractive men were actually recognized less well than average-looking men, F(1, 204) = 2.96, p <.10. None of these effects interacted with participant sex, and we found no significant ;3;3;3;0;3;;no expectation
105;t(37) = 1.94, p = .06;nonsignificant;0.060030697;were better fit by a linear function than by a logarithmic function. Men showed a significantly better linear fit compared with women, t(37) = 2.15, p = .038, d = 0.63, men showed a significantly more accurate slope, t(37) = 2.29, p = .028, d = .75, and men showed a marginally lower PAE, t(37) = 1.83, p = .076, d = 0.60. Men and women did not differ in performance on the numerical operations task, t(37) = .97, p = .34, although men did score marginally higher on the mathematical reasoning task, t(37) = 1.94, p = .06, d = 0.64. Acuity of number-line estimations, as assessed both by PAE and r2 linear fit, did not correlate with score on the numerical operations or mathematical reasoning task ( rs ranged from −.24 to .17, ps > .15). The pattern of relationships did not differ for men and women (men's rs ranged from −.26 to .02, ps > .27, women's rs ranged from −.16 to .06, ps > .51). Slope did correlate significantly with mathematical reasoning ( r = .40, p = .012). However, this rel;3;3;3;0;3;;no expectation
106;F(1, 176) = 14.89, p < .001;significant;0.000159782;ating that at each level, men's relative preference for physical attractiveness was stronger than women's. Similarly, women's relative preference for social level was stronger than men's at the low, F(1, 176) = 10.31, p < .001, medium, F(1, 176) = 10.25, p < .001, and high budget level, F(1, 176) = 21.14, p < .001. To examine every possible sex difference in spending, we tested the effect of sex for each characteristic at the low budget. Men spent more than women did on physical attractiveness, F(1, 176) = 14.89, p < .001, and women spent more on social level, F(1, 176) = 10.31, p < .01. Both remained significant after a Bonferroni correction (α = .05/5 = .01), and no other effects were found. Although these sex differences appear to have decreased as budgets increased (see Figure 1), the three-way Budget × Sex × Characteristic interaction was not significant, F(8, 1408) = 1.15. Figure 1. The graph on the left refers to long-term mates, the graph on the right refers to short-term mat;3;3;3;0;3;;no expectation
107;F(1, 124) = 8.28, p < .05;significant;0.004721352;ress than were those of male subjects in the models for self-reported responses (β = −.650 for female subjects, −.416 for male subjects), F(1, 124) = 4.55, p < .05, responses to mild problems (β = −.253 for female subjects, −.088 for male subjects), F(1, 124) = 4.57, p < .05, responses to partner's exit (β = −.200 for female subjects, −.147 for male subjects), F(1, 124) = 3.44, p < .10, and responses to partner's neglect (β = −.397 for female subjects, .003 for male subjects), F(1, 124) = 8.28, p < .05. Second, female subjects' tendencies to engage in neglect were more destructive to the relationship in terms of their responses to severe problems (β = −.569 for female subjects, −.319 for male subjects), F(1, 124) = 4.67, p < .05, and responses to partner's voice (β = −.470 for female subjects, −.053 for male subjects), F(1, 124) = 4.79, p < .05. Thus the destructive behaviors of female partners (exit, and perhaps neglect) appear to be particularly deleterious;3;3;3;0;3;;no expectation
108;F(1, 105) = 8.14, p = .005;significant;0.0052163;han seventh and eighth grade boys ( p < .05), whereas girls’ scores did not change with age. A main effect was found for grade, with the number of emotion-focused strategies used increasing as a function of grade, F(22, 102) = 6.47, p = .002. Finally, with regard to the number of strategies used with academic stressors, the MANOVA indicated a significant effect for sex, F(3, 103) = 3.61, p = .016. The number of emotion-focused strategies used with academic stressors varied for boys and girls, F(1, 105) = 8.14, p = .005, with girls reporting more strategies. Means and Standard Deviations for Coping Strategies Used for Stressful Events Cross-Situational Consistency in CopingThe degree of cross-situational consistency in the number of problem- and emotion-focused alternatives generated and strategies used for social and academic stressors is represented by Pearson correlations in Table 3. Three of the 16 correlations in the matrices for boys and for girls were expected to be significant ;3;3;3;0;3;;no expectation
109;F(1, 199) = 11.63, p< .001;significant;0.000785741;ay interaction. The overall design also yielded main effects reflecting greater good feelings for communal than for dominance relationships, F(1, 200) = 262.40, p< .001, and greater good feelings among women than men, F(1, 200) = 10.67, p< .001. These main effects also appeared in the simple two-way analyses. Mean Positive Affect, Arousal, and Actual Self−Self-Standard Discrepancy, Experiment 2Ratings of bad feelings yielded a significant two-way interaction between sex and relationship type, F(1, 199) = 11.63, p< .001, reflecting that women ( M= 3.93) reported greater bad feelings for dominance depictions than did men ( M= 3.26), F(1, 199) = 6.62, p< .01, and no sex difference emerged in bad feelings for the communal relationships ( Ms = 1.84 and 2.03 for women and men, respectively). In addition, the main effect for relationship type, F(1, 199) = 153.87, p< .001, reflected stronger bad feelings for dominance ( M= 3.55) than for communal relationships ( M= 1.95). Ratings of arousal y;3;3;3;0;3;;no expectation
110;t(138) = 0.36, ns;nonsignificant;0.719397493; these interaction terms were not significant, we concluded that this assumption was not violated.) The intercorrelations, means, and standard deviations of the study variables can be found in Table 2.We used ttests to test for hypothesized gender differences in the number and duration of mentoring relationships and to determine whether termination was due to physical separation. The results revealed that men and women did not significantly differ on the number of prior mentoring relationships, t(138) = 0.36, ns,the duration of these relationships, t(123) = 0.43, ns,and whether their last relationship ended because of physical separation (del = 2.91, z= .31, ns).The del results were replicated with chi-square analyses, χ 2(1, N= 142) = 0.12, ns.Post hoc analyses revealed no significant gender differences in any of the five specific reasons given for physical separation. Means, Standard Deviations, and Correlations of Study Variables Separately by GenderMultivariate analysis of covarian;3;3;3;0;3;;no expectation
111;X2(2) = 1.81, p = 0.40;nonsignificant;0.404541885;to the small sample size, the insecure-dismissing and insecure-preocupied attachment styles were combined into a single �insecure attachment group� following previous research methods [22], [23]. The IAG (n = 20, mean age = 12.15 years, SD = 1.26) was contrasted with the SAG (n = 20, mean age = 13.10 years, SD = 1.29). The IAG consisted of 13 males and 7 females, and the SAG consisted of 9 males and 11 females. We controlled for between group differences in age (F(2, 37) = 0.22, p = 0.81), sex (X2(2) = 1.81, p = 0.40), and education level (F(2, 37) = 1.54, p = 0.22). Participants had no history of physical or mental disorders, according to institutional records and a neuropsychiatric interview with the parents. Participants along with their parents gave informed consent in agreement with the Declaration of Helsinki. The Ethics Committee of the Institute of Cognitive Neurology approved all experimental procedures.InstrumentsNeuropsychological assessment.All participants completed a neuro;3;3;3;0;3;;no expectation
112;F(1, 41)= 8.86, p< .01;significant;0.004873207;t than men did (female M= 0.33, male M= −0.01). A significant Sex × Involvement × Time interaction was also found, F(1, 41)= 4.26, p< .05 ( r= .31), indicating that women's feelings of task engagement increased relatively more under ego-involving ( M= 0.45) than under task-involving ( M= 0.21) conditions, but men showed the opposite pattern (ego-involving M= −0.25, task-involving M= 0.22). The analysis of the competence scores produced a significant Sex × Involvement × Time interaction, F(1, 41)= 8.86, p< .01 ( r= .42), indicating that men's feelings of competence increased relatively more under task-involving ( M= 1.58) than under ego-involving ( M= 0.22) conditions, whereas women showed the opposite pattern (task-involving M= 1.07, ego-involving M= 1.59). In sum, the analyses of the self-report measures showed that women's feelings of task engagement and competence increased more under ego-involving than task-involving conditions, whereas men showed the opposite pattern, and w;3;3;3;0;3;;no expectation
113;F(1, 166) = .14, ns;nonsignificant;0.708758511;ercentages of episodes in which studentsindicated that they wished to be (a) with friends and (b) alone were calculated for eachperson. A two-way analysis of variance (ANOVA) using affiliative orientation (low andhigh ) and gender (male andfemale) as factors was computed separately for the two types of episodes. Both types ofepisodes were highly dependent on affiliative orientation friends, F(1, 166) = 7.00, p < .01, alone, F(1, 166) = 7.92, p < .01, but had no relationshipwith gender, friends, F(1, 166) = .14, ns, alone, F(1, 166) = 2.65, ns. Nointeraction effect was found, friends, F(1, 166) = 1.41, ns, alone, F(1, 166) = 1.48, ns. Regardless of gender, highly affiliative students more often wished to bewith friends and less often wished to be alone than less affiliative students (see Table 1). CompanionsThe percentages of episodes in whichrespondents indicated that they were (a) with friends and (b) alone were computed for eachperson. A two-way ANOVA using affiliative orientation and;3;3;3;0;3;;no expectation
114;Z = 1.498, p = 0.134;nonsignificant;0.13413325;f sexual differences in eight homologous morphological measurements in wild-caught G. pennsylvanicus.doi:10.1371/journal.pone.0003980.t001Males were significantly more likely to have the tips of their maxillae (lacinia) blunted or apparently snapped off at the maxadentes (e.g. see Fig. 1), than females (14/151 males, 0/76 females, Z = 2.430, p = 0.015), whereas there was no significant difference in the proportions of males and females that were missing one hind femur (4/151 males, 6/75 females, Z = 1.498, p = 0.134). We did not detect any abnormalities in head capsules or mandibles, and only one male's pronotum was misshapen.Experiment 1: Aggressive Contests Controlling for Pronotum LengthBy establishing pairs of males with similar pronotum lengths but different head widths, we were also able to produce pairs that varied in maxillae span, mean maxilla length, mean mandible length and mandible length asymmetry (Table 2). Download: PPT PowerPoint slide PNG larger image () TIFF original i;3;3;3;0;3;;no expectation
115;F(1, 424) = 8.19, p< .005;significant;0.004420767;icism in Japan is likely to be mediated by cultural rules of public display. Further, the effect of situation culture lends further support to the hypothesis that the meanings of self-relevant social situations in the respective cultures vary quite systematically in respect to their potential to afford either self-enhancing (in the United States) or self-critical (in Japan) meanings.Gender effectsAs in Study 1, the main effects for respondent gender and situation gender both proved significant, F(1, 424) = 8.19, p< .005, and F(1, 424) = 18.73, p< .0001, respectively. Thus male respondents showed a stronger self-enhancing tendency than did the female respondents, and male-made situations were more conducive to self-enhancement than were female-made situations. Thus, as might be predicted by the collective constructionist analysis, there was a correspondence between the effect of respondent gender and the effect of situation gender. Women were more prone to self-criticism (or less prone t;3;2;3;1;3;"very unclear (""might be predicted"")";no expectation
116;F(1, 60) = 1.82, p < .25;nonsignificant;0.182382655;7.93, p< .01. This interaction, depicted in Figure6, indicates that women wereparticularly accurate when the events were self-related and recent and that men wereparticularly inaccurate when the events were other-related and old. Figure 6. The dating error means for the Gender × Diary Type interaction. (Top panel,women, bottom panel, men.)These gender differences in dating accuracycannot be due to differences in event memory: There were no gender differences in analyses ofevent memory, largest F(1, 60) = 1.82, p < .25. Webelieve that these accuracy differences reflect the fact that women engage in temporal taggingmore frequently than men do. These differences in temporal tagging activity could involveeither of two types of tagging. First, women could be more likely than men to assign aspecific calendar date to an event. This idea suggests that the dates provided by women willmore often be exactly correct than the dates provided by men. Alternatively, women could bemore likely to assign;3;3;3;0;3;;no expectation
117;F(2, 93) = 1.65, ns;nonsignificant;0.197621757; interaction effect, F(2, 93) = 1.31, ns, all targets were rated as being equally competent. However, the analysis of the interpersonal civility data revealed a main effect for altruism, F(2, 93) = 122.89, p <.001, η 2 =.73, such that targets who helped were rated more favorably than targets for whom no information about helping was given, and both were rated more favorably than targets who chose not to help. The main effect for target sex, F(1, 93) = 3.01, ns, and for the two-way interaction, F(2, 93) = 1.65, ns, was not statistically significant. Covariance analysesBoth the competence ratings and the interpersonal civility ratings were included in subsequent ANCOVAs. Results indicated that regardless of taking either of these attribute scales as a covariate, the hypothesized Target Sex × Altruism interaction effect remained statistically significant for each of the two focal dependent variable scales. That is, when competence ratings were covaried out, the interaction remained stati;3;3;3;0;3;;no expectation
118;F(1, 72) = 1.37, ns;nonsignificant;0.245671459;tion, the two mood groups did not differ in anger, F(1, 72) = 0.21, ns, and there were no significant gender differences, F(1, 72) = 2.58, ns, or interaction effects, F(1, 75) = 0.25, ns.Following the mood induction, the results were as predicted, with the main effect for mood condition highly significant, F(1, 72) = 70.84, p< .0001, participants in the anger group reported higher anger ( M= 5.75) than those in the neutral group ( M= 3.09). The main effect for gender did not reach significance, F(1, 72) = 1.37, ns, but the Mood Condition × Gender interaction was marginally significant, F(1, 72) = 3.82, p< .05. The means for this analysis are presented in Table 3. Similar to Experiment 2, the mood induction effects appear to have had the strongest effects for women, women in the neutral group reported the least anger, whereas women in the anger group reported the most anger. However, unlike Experiment 2, men and women were both significantly more angry in the anger condition than the ne;2;3;3;1;3;;no expectation
119; 2(1, N = 71) = 0.00, p = 1.00;nonsignificant;1;to the delayed response condition, we conducted a chi-square analysis of the relationship between the delay manipulation (immediate vs. delayed response) and violent verbalization. As illustrated in Figure 3, participants were 2.17 times more likely verbalize a tendency toward IPV when they verbalized their responses to partner provocation immediately (46.51%) than when they did so after a 10-s delay (21.43%), χ 2(1, N = 71) = 4.59, p < .05, an effect that did not vary by participant gender, χ 2(1, N = 71) = 0.00, p = 1.00. Figure 3. Study 3: The percentage of participants who verbalized intimate partner violence (IPV) as a function of experimental condition (immediate response vs. delayed response). DiscussionIn Study 3, we experimentally manipulated whether participants responded to partner provocation immediately or after a 10-s delay. As predicted, individuals who responded immediately were more likely to verbalize IPV tendencies than were individuals who responded after a 10-s de;3;3;3;0;3;;no expectation
120;F(1, 79) < 1, ns;nonsignificant;0.320363715;eIn addition to feeling better about the event, the benefits of an enthusiastic positive response may carry over to feelings about the confederate. To test this possibility, we examined the effect of feedback condition on the interviewer evaluation composite. Participants in the AC feedback condition reported more favorable impressions of the confederate ( M = 3.89), compared with participants in the PC feedback condition ( M = 2.29), t(81) = 8.46, p < .001. The effect was not moderated by sex, F(1, 79) < 1, ns. Mood was again controlled in a separate analysis, and the effect of feedback on interviewer evaluation remained significant, F(1, 79) = 62.30, p < .001. Again, we obtained virtually identical results when controlling separately for positive and negative mood. Thus, participants' favorable impressions of the confederate cannot be attributed to increased positive mood. Brief Summary of Experiment 2 and Introduction to Experiment 3Experiment 2 demonstrated that increases in ratings;3;3;3;0;3;;no expectation
121;F(1, 67) = 4.14, p < .05;significant;0.045841404;female targets described by clearly irrelevant information, the four male targets described by pseudorelevant information, and the four female targets described by pseudorelevant information. Consistent with predictions, a significant interaction between gender label and relevance of information emerged, F(1, 67) = 4.34, p < .05 (see Figure 1). Simple-effects analyses confirmed that with clearly irrelevant information men were perceived as more assertive ( M = 5.37) than were women ( M = 5.13), F(1, 67) = 4.14, p < .05. With pseudorelevant information, there was no significant effect for gender label, F(1, 67) < 1. Figure 1. Ratings of targets' assertiveness as a function of gender label and the presence of clearly irrelevant or pseudorelevant information. (Higher numbers indicate a greater degree of assertiveness.)An unexpected, and potentially problematic main effect for relevance emerged, indicating that targets described by pseudorelevant information were seen as more assertive ( M ;2;2;2;0;2;;effect expected
122; 2(1, N = 46) = 3.61, p < .057;nonsignificant;0.05743312;heir own. This suggests that Type A control concerns may be manifest even in contexts that are nonaversive, in which trust of the confederate appears to be high, and in which success is not dependent on speedy motoric reaction times. Footnotes 1 A variety of other measures were also obtained. These are reported elsewhere ( Miller, Lack, &amp, Asroff, 1982) but are not included in this article. 2 There was also a marginally significant three-way interaction between AB type, sex, and condition, χ 2(1, N = 46) = 3.61, p < .057. Type A-B differences were most evident under unconditional yielding (i.e., with no prospect of reversing one’s decision). Under this condition, the majority of Type Bs, both male and female, chose to relinquish control, whereas the majority of Type As, both male and female, chose to retain control. When the choice was between retaining control or provisionally yielding it (i.e., with the option of reversing one’s decision), Type Bs (regardless of sex) continued;3;3;3;0;3;;no expectation
123;F(33, 69) = 1.92, p < .01;significant;0.011582078;rpose of the study, and a school psychologist administered the BATC and CSR to each child individually. ResultsEach of the four sets of assessed variables was analyzed in a 3 (social status) × 2 (sex) multivariate analysis of variance ( MANOVA). Significant multivariate effects were followed by appropriate univariate comparisons. Peer DescriptionThe MANOVA for the 33 PEI items yielded a significant main effect for social status, F(66, 140) = 4.66, p < .0001. The effect for sex was significant, F(33, 69) = 1.92, p < .01, but the Sex × Social Status interaction was not. Univariate analyses indicated that 32 of the 33 items significantly ( p < .01) discriminated among social status groups. Rejected children were significantly higher than were accepted and neglected children for items describing physical and verbal aggression, classroom disruption, restlessness, explosiveness, bossiness, unhappiness, immaturity, social isolation, and oversensitivity. The neglected and comparison children ;3;3;3;0;3;;no expectation
124; 2(1) = 10.66, p < .001;significant;0.001094774;ich the gender constraint was released for each of the cross-lagged paths one by one, while the gender constraint was kept for other transactional paths. Based on chi-square difference tests comparing the fit of each of these models to that of Model 6 (in which all transactional paths were constrained to be equal across genders), only one of these paths appeared to be significantly different between genders, namely, the path from academic achievement in Grade 4 to peer rejection in Grade 5, Δχ 2(1) = 10.66, p < .001. This path had shown a statistical trend in Model 2, and an examination of gender-specific coefficients revealed that this path was significant only for girls (further details about this outcome are included in the following subsection). After this careful examination of gender differences in the key components of the model (i.e., transactional paths), we concluded that the overall pattern of results was consistent across genders. Therefore, the rest of this article descri;3;3;3;0;3;;no expectation
